correctedValue,originalValue,answerCode
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
Out,KO,tipo_barrera
Out,O,tipo_barrera
Out,RKO,tipo_barrera
In,KNI,tipo_barrera
Out,RKO,tipo_barrera
